cve_institucion,cve_periodo,cve_destino_credito,cve_tipo_moneda,responsabilidad,tasa,plazo
040002,201512,0,0,5598220,11.25,152
040002,201512,22,0,3015364821,6.496489973,38.5806564
040002,201512,22,1,3530664395,3.066536558,41.97231842
040002,201512,24,0,1724655223,5.451828762,13.40057278
040002,201512,24,1,828150410,2.696868465,11.99538495
040002,201512,27,0,1.30742E+11,6.812702613,26.38942235
040002,201512,27,1,62804192960,1.952403414,25.705979
040002,201512,27,2,39899117,0.124790463,10.09047937
040002,201512,28,0,5775782407,6.323901911,8.485417819
040002,201512,28,1,1198077288,3.3191,7.7721
040002,201512,29,0,19770679,4.419471592,3.511487491
040002,201512,29,1,3423203,4.2,3
040002,201512,30,0,1434273984,6.210215527,36.22576187
040002,201512,30,1,526593223,3.604203792,33.85935793
040002,201612,0,0,5448157,11.25,140
040002,201612,22,0,2843979972,7.881259167,45.11470861
040002,201612,22,1,3994998037,3.148636878,33.98916644
040002,201612,24,0,932697058,8.151021297,19.1517446
040002,201612,24,1,1014231747,3.399173248,23.32868978
040002,201612,27,0,1.62251E+11,8.429286158,27.40697052
040002,201612,27,1,61938928403,2.703961126,34.20350815
040002,201612,27,2,40634627,0.023270793,0.072338657
040002,201612,28,0,5598139695,8.606143605,19.89946105
040002,201612,28,1,2323673870,3.841,22.3227
040002,201612,29,0,27176446,7.6039,7
040002,201612,30,0,2050920831,7.865107808,34.83926227
040002,201612,30,1,516104802,3.762034081,30.54227244
040012,201512,0,0,5353142405,6.177165479,129.1759176
040012,201512,0,1,7808942771,3.374047274,134.9110937
040012,201512,21,0,138985797,6.33,48
040012,201512,22,0,55846634,7.286734191,18.35663191
040012,201512,22,1,230277920,2.289750083,83.65202343
040012,201512,24,0,933256,12.44895361,1.472575224
040012,201512,25,0,358437265,7.555639682,0.206873003
040012,201512,27,0,2.06444E+11,7.420384505,32.97144731
040012,201512,27,1,1.1442E+11,3.141723893,50.24735306
040012,201512,28,0,11596843839,6.387235823,3.234930658
040012,201512,28,1,1748675270,3.586103498,2.520884518
040012,201512,30,0,1324861578,6.747918459,29.60516086
040012,201512,30,1,258771609,4.930908735,44.25201729
040012,201512,31,0,32132710,9.724265379,50.72577769
040012,201512,32,0,3524281999,4.777530573,34.32121358
040012,201512,32,1,683322766,2.343490982,1.628030043
040012,201612,0,0,4739026792,8.285465796,111.349269
040012,201612,0,1,12970626895,3.649746737,150.5324191
040012,201612,21,0,113176559,8.17,36
040012,201612,22,0,27302148,9.363327152,17.59944355
